"","filename","version","vuln_count","date"
"398","findmnt","version_0.5",19,"2021-07-05"
"399","findmnt","version_0.6",20,"2022-06-10"
"400","fish","version_0.4",0,"2021-01-07"
"401","fish","version_0.5",0,"2021-07-05"
"402","fish","version_0.6",0,"2022-06-10"
"403","fiwalk","version_0.4",0,"2021-01-07"
"404","fiwalk","version_0.5",0,"2021-07-05"
"405","fiwalk","version_0.6",0,"2022-06-10"
"406","flac","version_0.4",408,"2021-01-07"
"407","flac","version_0.5",96,"2021-07-05"
"408","flac","version_0.6",104,"2022-06-10"
"409","futility","version_0.4",200,"2021-01-07"
"410","futility","version_0.5",187,"2021-07-05"
"411","futility","version_0.6",247,"2022-06-10"
"412","g-ir-compiler","version_0.4",0,"2021-01-07"
"413","g-ir-compiler","version_0.5",0,"2021-07-05"
"414","g-ir-compiler","version_0.6",0,"2022-06-10"
"415","gatttool","version_0.4",331,"2021-01-07"
"416","gatttool","version_0.5",212,"2021-07-05"
"417","gatttool","version_0.6",124,"2022-06-10"
"418","gawk","version_0.4",0,"2021-01-07"
"419","gawk","version_0.5",0,"2021-07-05"
"420","gawk","version_0.6",0,"2022-06-10"
"421","gdbus","version_0.4",42,"2021-01-07"
"422","gdbus","version_0.5",12,"2021-07-05"
"423","gdbus","version_0.6",9,"2022-06-10"
"424","generic_chunked","version_0.4",357,"2021-01-07"
"425","generic_chunked","version_0.5",114,"2021-07-05"
"426","generic_chunked","version_0.6",122,"2022-06-10"
"427","generic_listen_tcp","version_0.4",347,"2021-01-07"
"428","generic_listen_tcp","version_0.5",110,"2021-07-05"
"429","generic_listen_tcp","version_0.6",118,"2022-06-10"
"430","generic_send_tcp","version_0.4",342,"2021-01-07"
"431","generic_send_tcp","version_0.5",110,"2021-07-05"
"432","generic_send_tcp","version_0.6",118,"2022-06-10"
"433","generic_send_udp","version_0.4",340,"2021-01-07"
"434","generic_send_udp","version_0.5",110,"2021-07-05"
"435","generic_send_udp","version_0.6",118,"2022-06-10"
"436","generic_web_server_fuzz","version_0.4",358,"2021-01-07"
"437","generic_web_server_fuzz","version_0.5",114,"2021-07-05"
"438","generic_web_server_fuzz","version_0.6",122,"2022-06-10"
"439","generic_web_server_fuzz2","version_0.4",365,"2021-01-07"
"440","generic_web_server_fuzz2","version_0.5",114,"2021-07-05"
"441","generic_web_server_fuzz2","version_0.6",122,"2022-06-10"
"442","gio","version_0.4",4,"2021-01-07"
"443","gio","version_0.5",47,"2021-07-05"
"444","gio","version_0.6",46,"2022-06-10"
"445","git","version_0.4",0,"2021-01-07"
"446","git","version_0.5",0,"2021-07-05"
"447","git","version_0.6",0,"2022-06-10"
"448","git-shell","version_0.4",0,"2021-01-07"
"449","git-shell","version_0.5",1938,"2021-07-05"
"450","git-shell","version_0.6",1390,"2022-06-10"
"451","gnome-keyring-daemon","version_0.4",0,"2021-01-07"
"452","gnome-keyring-daemon","version_0.5",0,"2021-07-05"
"453","gnome-keyring-daemon","version_0.6",0,"2022-06-10"
"454","gopherd","version_0.4",345,"2021-01-07"
"455","gopherd","version_0.5",112,"2021-07-05"
"456","gopherd","version_0.6",118,"2022-06-10"
"457","gpasswd","version_0.4",109,"2021-01-07"
"458","gpasswd","version_0.5",66,"2021-07-05"
"459","gpasswd","version_0.6",70,"2022-06-10"
"460","gpg","version_0.4",0,"2021-01-07"
"461","gpg","version_0.5",0,"2021-07-05"
"462","gpg","version_0.6",0,"2022-06-10"
"463","gpg-agent","version_0.4",593,"2021-01-07"
"464","gpg-agent","version_0.5",369,"2021-07-05"
"465","gpg-agent","version_0.6",349,"2022-06-10"
"466","gpg-connect-agent","version_0.4",288,"2021-01-07"
"467","gpg-connect-agent","version_0.5",136,"2021-07-05"
"468","gpg-connect-agent","version_0.6",136,"2022-06-10"
"469","gpg-wks-server","version_0.4",454,"2021-01-07"
"470","gpg-wks-server","version_0.5",161,"2021-07-05"
"471","gpg-wks-server","version_0.6",179,"2022-06-10"
"472","gpgcompose","version_0.4",0,"2021-01-07"
"473","gpgcompose","version_0.5",0,"2021-07-05"
"474","gpgcompose","version_0.6",0,"2022-06-10"
"475","gpgconf","version_0.4",159,"2021-01-07"
"476","gpgconf","version_0.5",95,"2021-07-05"
"477","gpgconf","version_0.6",91,"2022-06-10"
"478","gpgsm","version_0.4",817,"2021-01-07"
"479","gpgsm","version_0.5",370,"2021-07-05"
