binary,size,compiler,static,domain
netkit-ftp,102008,Unk,FALSE,Network
netstat,154192,Unk,FALSE,Network
networkctl,96480,Unk,FALSE,Network
nl,113696,Unk,FALSE,System
nm,1176248,gcc(GNU),TRUE,System
nm-applet,250784,Unk,FALSE,System
nm-connection-editor,787752,Unk,FALSE,System
nmap_centos5,9461651,gcc(3.X),TRUE,Network
nmblookup,141632,Unk,FALSE,Network
nmcli,925640,Unk,FALSE,Network
nmtui,727600,Unk,FALSE,Network
nslookup,109216,Unk,FALSE,Network
nstat,80112,Unk,FALSE,Network
nsupdate,72064,Unk,FALSE,Network
ntfs-3g,146128,Unk,FALSE,System
ntfsdecrypt,51320,Unk,FALSE,System
ntfsinfo,55416,Unk,FALSE,System
ntfsrecover,116840,Unk,FALSE,System
ntfswipe,51848,Unk,FALSE,System
ntlm2,81368,Unk,FALSE,System
ntlm_brute,81336,Unk,FALSE,Network
ntpdc,153736,Unk,FALSE,Network
ntpq,192680,Unk,FALSE,Network
numfmt,68576,Unk,FALSE,System
obexctl,182576,Unk,FALSE,Network
objcopy,1343096,gcc(GNU),TRUE,System
objdump,2282744,gcc(GNU),TRUE,System
od,72640,Unk,FALSE,System
onesixtyone,161952,Unk,FALSE,Network
openfortivpn,108616,Unk,FALSE,Network
openssl,736792,Unk,FALSE,Network
ophcrack,441448,gcc(3.X),FALSE,System
ophcrack-cli,154568,Unk,FALSE,System
out123,67760,Unk,FALSE,System
pacat,51472,Unk,FALSE,System
packetforge-ng,76008,Unk,FALSE,Network
packetq,535688,gcc(Alpine),FALSE,Network
pactl,71928,Unk,FALSE,Network
parole,410560,Unk,FALSE,System
partx,116976,Unk,FALSE,System
passwd,63960,Unk,FALSE,System
patch,191936,Unk,FALSE,System
pavucontrol,485576,gcc(3.X),FALSE,System
perl,3677056,Unk,FALSE,System
perl5.32.1,3677056,Unk,FALSE,System
perror,3788288,Unk,FALSE,System
photorec,633624,Unk,FALSE,System
pic,225472,gcc(3.X),FALSE,System
pidstat,72000,Unk,FALSE,System
pinentry-curses,63992,Unk,FALSE,System
pinentry-gnome3,76280,Unk,FALSE,System
ping,64424,Unk,FALSE,Network
pixiewps,96328,Unk,FALSE,Network
pmspike,63984,Unk,FALSE,System
post_fuzz,63992,Unk,FALSE,System
post_spike,63992,Unk,FALSE,System
pr,76896,Unk,FALSE,System
preconv,63848,gcc(3.X),FALSE,System
printf,60256,Unk,FALSE,System
procan,81776,Unk,FALSE,System
profiles,51352,Unk,FALSE,System
proxytunnel,52152,Unk,FALSE,Network
ps,133432,Unk,FALSE,System
pstat,285784,gcc(3.X),FALSE,System
pth-curl,624432,Unk,TRUE,Network
ptx,138336,Unk,FALSE,System
pulseaudio,96584,Unk,FALSE,Network
pv,136280,gcc(Alpine),FALSE,System
qt5ct,530832,gcc(3.X),FALSE,System
quake,63992,Unk,FALSE,Network
quakeserver,63992,Unk,FALSE,Network
r2agent,155824,Unk,FALSE,Network
r2r,200880,Unk,FALSE,System
rabin2,155824,Unk,FALSE,System
radare2,155824,Unk,FALSE,System
radiff2,155824,Unk,FALSE,System
rafind2,155824,Unk,FALSE,System
ragg2,155824,Unk,FALSE,System
rahash2,155824,Unk,FALSE,System
ranlib,1195384,gcc(GNU),TRUE,System
rarun2,155824,Unk,FALSE,System
rasign2,155824,Unk,FALSE,System
rasm2,155824,Unk,FALSE,System
rawshark,104520,Unk,FALSE,Network
rax2,155824,Unk,FALSE,System
rb,75136,Unk,FALSE,System
rctest,185992,Unk,FALSE,Network
rdesktop,534048,Unk,FALSE,Network
rdf2bin,96768,Unk,FALSE,System
rdma,133360,Unk,FALSE,System
readelf,656696,gcc(GNU),TRUE,System
readlink,52032,Unk,FALSE,System
realpath,56160,Unk,FALSE,System
rearj,62640,Unk,FALSE,System
reaver,835440,Unk,FALSE,Network
recordmydesktop,97824,Unk,FALSE,System
redir,84848,gcc(Alpine),FALSE,Network
rendercheck,57760,Unk,FALSE,System
replace,3569408,Unk,FALSE,System
resizepart,63720,Unk,FALSE,System
resolvectl,129400,Unk,FALSE,Network
resolveip,3586496,Unk,FALSE,Network
resolve_stack_dump,3586496,Unk,FALSE,System
rfcomm,152272,Unk,FALSE,Network
ristretto,262472,Unk,FALSE,System
rm,63704,Unk,FALSE,System
rmdir,52032,Unk,FALSE,System
rpcclient,1362264,Unk,FALSE,Network
rpcgen,97256,Unk,FALSE,Network
rsync,493096,Unk,FALSE,Network
rx,75136,Unk,FALSE,System
rz,75136,Unk,FALSE,System
sadf,424208,Unk,FALSE,System
samba-regedit,101464,Unk,FALSE,System
sane-find-scanner,142184,Unk,FALSE,System
sar.sysstat,148816,Unk,FALSE,System
sb,79296,Unk,FALSE,Network
sbd,51824,Unk,FALSE,Network
scalpel,55288,Unk,FALSE,System
scanimage,52184,Unk,FALSE,System
scp,116880,Unk,FALSE,Network
screen,482312,Unk,FALSE,Network
script,67816,Unk,FALSE,System
scriptlive,55528,Unk,FALSE,System
sdptool,255088,Unk,FALSE,Network
sed,109000,Unk,FALSE,System
sendmsrpc,64008,Unk,FALSE,Network
seq,56192,Unk,FALSE,System
sftp,174440,Unk,FALSE,Network
sha1deep,244120,gcc(3.X),FALSE,System
sha1sum,52128,Unk,FALSE,System
sha224sum,64416,Unk,FALSE,System
sha256deep,244120,gcc(3.X),FALSE,System
sha256sum,64416,Unk,FALSE,System
sha384sum,68512,Unk,FALSE,System
sha512sum,68512,Unk,FALSE,System
sharkd,165968,Unk,FALSE,Network
shred,64608,Unk,FALSE,System
shuf,60384,Unk,FALSE,System
size,1166520,gcc(GNU),TRUE,System
skipfish,303136,Unk,FALSE,Network
smbclient,153936,Unk,FALSE,Network
smbcontrol,60016,Unk,FALSE,Network
snmpnetstat,74280,Unk,FALSE,Network
socat,375176,gcc(Alpine),FALSE,Network
sort,118408,Unk,FALSE,System
speech-dispatcher,170248,Unk,FALSE,System
split,60896,Unk,FALSE,System
spooftooph,57616,Unk,TRUE,Network
sqldiff,1323024,Unk,FALSE,System
sqlite3,1603696,Unk,FALSE,System
sqsh,307272,Unk,FALSE,System
ss,139904,Unk,FALSE,Network
ssh,797480,Unk,FALSE,Network
ssh-add,374912,Unk,FALSE,Network
ssh-agent,354440,Unk,FALSE,Network
ssh-keygen,485576,Unk,FALSE,Network
ssh-keyscan,469224,Unk,FALSE,Network
sslsplit,206856,Unk,FALSE,Network
ss_spike,63984,Unk,FALSE,Network
stat,85184,Unk,FALSE,System
statd_spike,63984,Unk,FALSE,System
stdbuf,52064,Unk,FALSE,System
strace,346592,gcc(GNU),TRUE,System
strings,1166840,gcc(GNU),TRUE,System
stty,75992,Unk,FALSE,System
stunnel4,200472,Unk,FALSE,Network
su,71912,Unk,FALSE,System
sudo,182600,Unk,FALSE,System
sudoreplay,118160,Unk,FALSE,System
sunrpcfuzz,64056,Unk,FALSE,Network
svn,440616,Unk,FALSE,Network
svnadmin,137448,Unk,FALSE,Network
svnbench,71912,Unk,FALSE,Network
svnlook,92392,Unk,FALSE,Network
svnrdump,55528,Unk,FALSE,Network
svnserve,108840,Unk,FALSE,Network
sx,79296,Unk,FALSE,System
systemctl,182352,Unk,FALSE,System
systemd-analyze,1694296,Unk,FALSE,System
systemd-hwdb,84328,Unk,FALSE,System
systemd-mount,51648,Unk,FALSE,System
systemd-run,55720,Unk,FALSE,System
systemd-sysusers,55832,Unk,FALSE,System
systemd-tmpfiles,71752,Unk,FALSE,System
sz,79296,Unk,FALSE,Network
tac,109536,Unk,FALSE,System
tail,76864,Unk,FALSE,System
tapestat,51520,Unk,FALSE,System
tar,423312,Unk,FALSE,System
tbl,145768,gcc(3.X),FALSE,System
tcpbridge,321664,Unk,FALSE,Network
tcpcapinfo,148416,Unk,FALSE,Network
