"filename","version","vuln_count","date"
"wget","version_3.1.1",0,NA
"wget","version_3.1",0,NA
"wget","version_3.0",0,NA
"wget","version_2.2.1",0,NA
"wget","version_2.2",0,NA
"wget","version_2.1.post1",80,NA
"wget","version_2.1",80,NA
"wget","version_2.0",80,NA
"wget","version_1.1",80,NA
"wget","version_1.0",0,NA
"VBoxClient","version_3.1.1",0,NA
"VBoxClient","version_3.1",0,NA
"VBoxClient","version_3.0",0,NA
"VBoxClient","version_2.2.1",0,NA
"VBoxClient","version_2.2",0,NA
"VBoxClient","version_2.1.post1",76,NA
"VBoxClient","version_2.1",76,NA
"VBoxClient","version_2.0",76,NA
"VBoxClient","version_1.1",76,NA
"VBoxClient","version_1.0",0,NA
"svnserve","version_3.1.1",0,NA
"svnserve","version_3.1",0,NA
"svnserve","version_3.0",0,NA
"svnserve","version_2.2.1",0,NA
"svnserve","version_2.2",0,NA
"svnserve","version_2.1.post1",91,NA
"svnserve","version_2.1",91,NA
"svnserve","version_2.0",91,NA
"svnserve","version_1.1",91,NA
"svnserve","version_1.0",0,NA
"xfce4-clipman","version_3.1.1",0,NA
"xfce4-clipman","version_3.1",0,NA
"xfce4-clipman","version_3.0",0,NA
"xfce4-clipman","version_2.2.1",0,NA
"xfce4-clipman","version_2.2",0,NA
"xfce4-clipman","version_2.1.post1",91,NA
"xfce4-clipman","version_2.1",91,NA
"xfce4-clipman","version_2.0",91,NA
"xfce4-clipman","version_1.1",91,NA
"xfce4-clipman","version_1.0",0,NA
"editres","version_3.1.1",0,NA
"editres","version_3.1",0,NA
"editres","version_3.0",0,NA
"editres","version_2.2.1",0,NA
"editres","version_2.2",0,NA
"editres","version_2.1.post1",80,NA
"editres","version_2.1",80,NA
"editres","version_2.0",80,NA
"editres","version_1.1",80,NA
"editres","version_1.0",0,NA
"grub-render-label","version_3.1.1",21,NA
"grub-render-label","version_3.1",0,NA
"grub-render-label","version_3.0",21,NA
"grub-render-label","version_2.2.1",21,NA
"grub-render-label","version_2.2",21,NA
"grub-render-label","version_2.1.post1",80,NA
"grub-render-label","version_2.1",80,NA
"grub-render-label","version_2.0",80,NA
"grub-render-label","version_1.1",80,NA
"grub-render-label","version_1.0",0,NA
"cluster","version_3.1.1",0,NA
"cluster","version_3.1",0,NA
"cluster","version_3.0",0,NA
"cluster","version_2.2.1",0,NA
"cluster","version_2.2",0,NA
"cluster","version_2.1.post1",19,NA
"cluster","version_2.1",19,NA
"cluster","version_2.0",19,NA
"cluster","version_1.1",19,NA
"cluster","version_1.0",0,NA
"aria_pack","version_3.1.1",0,NA
"aria_pack","version_3.1",0,NA
"aria_pack","version_3.0",0,NA
"aria_pack","version_2.2.1",0,NA
"aria_pack","version_2.2",0,NA
"aria_pack","version_2.1.post1",19,NA
"aria_pack","version_2.1",19,NA
"aria_pack","version_2.0",19,NA
