"filename","version","findings_count"
"gpg.wks.server","version_0.4",454
"gpg.wks.server","version_0.5",161
"gpg.wks.server","version_0.6",179
"gpgcompose","version_0.4",0
"gpgcompose","version_0.5",0
"gpgcompose","version_0.6",0
"gpgconf","version_0.4",159
"gpgconf","version_0.5",95
"gpgconf","version_0.6",91
"gpgsm","version_0.4",817
"gpgsm","version_0.5",370
"gpgsm","version_0.6",405
"gpgsplit","version_0.4",82
"gpgsplit","version_0.5",67
"gpgsplit","version_0.6",67
"gpgtar","version_0.4",300
"gpgtar","version_0.5",126
"gpgtar","version_0.6",127
"gpgv","version_0.4",1244
"gpgv","version_0.5",294
"gpgv","version_0.6",353
"grep","version_0.4",690
"grep","version_0.5",186
"grep","version_0.6",241
"grepjar","version_0.4",454
"grepjar","version_0.5",132
"grepjar","version_0.6",140
"groff","version_0.4",318
"groff","version_0.5",186
"groff","version_0.6",212
"grops","version_0.4",439
"grops","version_0.5",218
"grops","version_0.6",309
"grotty","version_0.4",321
"grotty","version_0.5",149
"grotty","version_0.6",204
"grub.editenv","version_0.4",1074
"grub.editenv","version_0.5",121
"grub.editenv","version_0.6",188
"grub.file","version_0.4",0
"grub.file","version_0.5",0
"grub.file","version_0.6",0
"grub.fstest","version_0.4",0
"grub.fstest","version_0.5",0
"grub.fstest","version_0.6",0
"grub.glue.efi","version_0.4",1072
"grub.glue.efi","version_0.5",123
"grub.glue.efi","version_0.6",188
"grub.menulst2cfg","version_0.4",265
"grub.menulst2cfg","version_0.5",94
"grub.menulst2cfg","version_0.6",135
"grub.mkfont","version_0.4",1109
"grub.mkfont","version_0.5",131
"grub.mkfont","version_0.6",199
"grub.mkimage","version_0.4",1478
"grub.mkimage","version_0.5",189
"grub.mkimage","version_0.6",282
"grub.mklayout","version_0.4",0
"grub.mklayout","version_0.5",0
"grub.mklayout","version_0.6",0
"grub.mknetdir","version_0.4",1575
"grub.mknetdir","version_0.5",246
"grub.mknetdir","version_0.6",427
"grub.mkpasswd.pbkdf2","version_0.4",1094
"grub.mkpasswd.pbkdf2","version_0.5",128
"grub.mkpasswd.pbkdf2","version_0.6",191
"grub.mkrelpath","version_0.4",1073
"grub.mkrelpath","version_0.5",127
"grub.mkrelpath","version_0.6",189
"grub.mkrescue","version_0.4",0
"grub.mkrescue","version_0.5",0
"grub.mkrescue","version_0.6",0
"grub.mkstandalone","version_0.4",1684
"grub.mkstandalone","version_0.5",273
"grub.mkstandalone","version_0.6",453
"grub.mount","version_0.4",0
"grub.mount","version_0.5",0
"grub.mount","version_0.6",0
"grub.render.label","version_0.4",0
"grub.render.label","version_0.5",0
"grub.render.label","version_0.6",0
"grub.script.check","version_0.4",1132
"grub.script.check","version_0.5",127
"grub.script.check","version_0.6",209
"grub.syslinux2cfg","version_0.4",0
"grub.syslinux2cfg","version_0.5",0
"grub.syslinux2cfg","version_0.6",0
"gvmap","version_0.4",477
"gvmap","version_0.5",0
"gvmap","version_0.6",0
"gzip","version_0.4",160
"gzip","version_0.5",71
"gzip","version_0.6",83
"halflife","version_0.4",344
"halflife","version_0.5",117
"halflife","version_0.6",126
"hashcat","version_0.4",2351
"hashcat","version_0.5",348
"hashcat","version_0.6",371
"hashdeep","version_0.4",584
"hashdeep","version_0.5",0
"hashdeep","version_0.6",0
"hciattach","version_0.4",44
"hciattach","version_0.5",54
"hciattach","version_0.6",53
"hciconfig","version_0.4",69
"hciconfig","version_0.5",59
"hciconfig","version_0.6",59
"hcidump","version_0.4",1003
"hcidump","version_0.5",107
"hcidump","version_0.6",79
"hcitool","version_0.4",61
"hcitool","version_0.5",69
"hcitool","version_0.6",58
"heartbleeder","version_0.4",0
"heartbleeder","version_0.5",0
"heartbleeder","version_0.6",0
"hexdump","version_0.4",69
"hexdump","version_0.5",29
"hexdump","version_0.6",31
"hexeditor","version_0.4",97
"hexeditor","version_0.5",82
"hexeditor","version_0.6",73
"host","version_0.4",389
"host","version_0.5",72
"host","version_0.6",42
"hotpatcher","version_0.4",78
"hotpatcher","version_0.5",27
"hotpatcher","version_0.6",27
"ht","version_0.4",0
"ht","version_0.5",0
"ht","version_0.6",0
"htop","version_0.4",2153
"htop","version_0.5",71
"htop","version_0.6",72
"httptunnel.client","version_0.4",242
"httptunnel.client","version_0.5",13
"httptunnel.client","version_0.6",18
"httptunnel.server","version_0.4",279
"httptunnel.server","version_0.5",13
"httptunnel.server","version_0.6",17
"hydra","version_0.4",110
"hydra","version_0.5",1
"hydra","version_0.6",2
"ico","version_0.4",10
"ico","version_0.5",0
"ico","version_0.6",0
"iconv","version_0.4",341
"iconv","version_0.5",40
"iconv","version_0.6",52
"ike.scan","version_0.4",135
"ike.scan","version_0.5",73
"ike.scan","version_0.6",104
"infocmp","version_0.4",0
"infocmp","version_0.5",0
"infocmp","version_0.6",0
"innochecksum","version_0.4",0
