"","version_0.4","version_0.5","version_0.6","filename"
"ophcrack-cli",527,280,307,"ophcrack-cli"
"out123",49,72,50,"out123"
"pacat",3,3,3,"pacat"
"packetforge-ng",0,0,0,"packetforge-ng"
"packetq",0,0,0,"packetq"
"pactl",23,3,5,"pactl"
"parole",251,0,0,"parole"
"partx",128,76,88,"partx"
"passwd",71,26,37,"passwd"
"patch",308,162,179,"patch"
"pavucontrol",319,10,31,"pavucontrol"
"perl",0,0,0,"perl"
"perl5.32.1",0,0,0,"perl5.32.1"
"perror",0,0,0,"perror"
"photorec",0,0,0,"photorec"
"pic",233,97,183,"pic"
"pidstat",106,46,56,"pidstat"
"pinentry-curses",0,0,0,"pinentry-curses"
"pinentry-gnome3",0,0,0,"pinentry-gnome3"
"ping",21,18,20,"ping"
"pixiewps",72,34,42,"pixiewps"
"pmspike",344,115,120,"pmspike"
"post_fuzz",358,119,122,"post_fuzz"
"post_spike",351,122,123,"post_spike"
"pr",0,0,0,"pr"
"preconv",141,97,100,"preconv"
"printf",0,0,0,"printf"
"procan",46,66,69,"procan"
"profiles",81,30,31,"profiles"
"proxytunnel",67,67,63,"proxytunnel"
"ps",57,100,112,"ps"
"pstat",0,0,0,"pstat"
"pth-curl",1248,388,436,"pth-curl"
"ptx",558,156,174,"ptx"
"pulseaudio",100,2,2,"pulseaudio"
"pv",182,10,100,"pv"
"qt5ct",104,0,0,"qt5ct"
"quake",344,111,120,"quake"
"quakeserver",348,111,120,"quakeserver"
"r2agent",418,254,324,"r2agent"
"r2r",513,292,352,"r2r"
"rabin2",418,254,324,"rabin2"
"radare2",425,256,326,"radare2"
"radiff2",418,254,324,"radiff2"
"rafind2",418,254,324,"rafind2"
"ragg2",418,254,324,"ragg2"
"rahash2",418,254,324,"rahash2"
"ranlib",2500,0,0,"ranlib"
"rarun2",418,254,324,"rarun2"
"rasign2",418,254,324,"rasign2"
"rasm2",418,254,324,"rasm2"
"rawshark",0,0,0,"rawshark"
"rax2",418,254,324,"rax2"
"rb",55,16,14,"rb"
"rctest",80,50,62,"rctest"
"rdesktop",1062,477,455,"rdesktop"
"rdf2bin",12,56,9,"rdf2bin"
